?TitleID,Listed subjects
50267,Imprint 1776 ; Taino sculpture ; Taino art ; Taino Indians ; Taino pottery ; Haiti ; Taino wood-carving ; Antiquities ; Indians of the West Indies ; Botany ; Hispaniola ; Natural history
51373,Natural history ; Peru ; Indians of South America ; Indians of Mexico ; Early accounts to 1600 ; America ; Latin America
53666,"Mexico ; Panama ; Description and travel ; Central America ; Natural history ; Indians of Mexico ; Wafer, Lionel, ; Travel ; Early works to 1800 ; 1660?-1705? ; Pre-Linnean works ; Indians of Central America"
53787,Nahuatl language ; Natural history ; Imprint 1830 ; Imprint 1829 ; Nahua calendar ; Indian linguistics ; Aztecs ; Indians of Mexico ; CSAIP ; Mexico ; Antiquities
56670,Tropics ; Brazil ; Description and travel ; South America ; Natural history ; Indians of South America
58207,Natural history ; Description and travel ; Amazon River Valley ; Indians of South America
59393,Peru ; Indians of South America ; Early accounts to 1600 ; Indians of Mexico ; Natural history ; America ; Discovery and exploration ; Latin America ; Imprint 1596
61174,"History ; West Indies, French ; Natural history ; West Indies ; Indian linguistics ; Carib language ; Indians of the West Indies"
61493,Indians of South America ; 19th century ; History ; Lithographs ; Sources ; Bolivia ; South America ; Peru ; Brazil ; Description and travel ; France ; Scientific Expeditions ; Natural history ; Antiquities
61789,Indians of South America ; Mexico ; Antiquities ; Description and travel ; Andes ; Peru ; Indians of Mexico
61959,Imprint 1648 ; Indians of South America ; Natural history ; Brazil ; Pre-Linnean works ; Indian linguistics ; Mapuche language ; Tupi language
62527,"Chiloé (Chile) ; Patagonia (Argentina and Chile) ; Indians of South America ; Catalogs, Booksellers' ; Great Britain ; Imprint 1809 ; Indian linguistics ; Natural history ; Chile ; Mapuche Indians ; History ; Mapuche language ; 1809 ; To 1810"
62722,Patagonia (Argentina and Chile) ; Mapuche language ; Chile ; Mapuche Indians ; Indian linguistics ; Natural history ; Description and travel ; Indians of South America
62990,Peru ; Indians of South America ; America ; Early accounts to 1600 ; Indians of Mexico ; Natural history ; Latin America
68190,Peru ; Antiquities ; Incas ; Indians of South America
68194,Mexico ; Indians of Central America ; Antiquities ; Indians of Mexico
68255,Mexico ; Indians of Mexico ; Antiquities ; Indians of Central America ; Central America
68256,Indians of Mexico ; Antiquities ; Central America ; Indians of Central America ; Mexico
68283,History ; Peru ; Indians of South America ; Incas ; Antiquities ; To 1548
68328,Indian goldwork ; Peru ; Exhibitions ; Museo Oro del Perú ; Indians of South America ; Antiquities
68334,Antiquities ; Incas ; History ; Indians of South America ; Peru ; To 1548
68339,Peru ; Antiquities ; Incas ; Indians of South America ; History ; To 1548
68341,Mexico ; Antiquities ; Central America ; Indians of Mexico ; Indians of Central America
69115,Incas ; Peru ; Indians of South America ; 57.1(8)2 ; Antiquities
69471,"Botany, Medical ; Medical geography ; Brazil ; Medicine ; Natural history ; Indians of South America"
77413,Imprint 1605 ; Peru ; Latin America ; Indians of South America ; Discovery and exploration ; Natural history ; Early accounts to 1600 ; Indians of Mexico ; America
77456,Early accounts to 1600 ; Indians of Mexico ; America ; Latin America ; Indians of South America ; Discovery and exploration ; Natural history ; Peru ; Imprint 1598
77457,Latin America ; Natural history ; Discovery and exploration ; Indians of Mexico ; America ; Early accounts to 1600 ; Indians of South America ; Imprint 1600 ; Peru
82326,"Etymology ; Mexico ; Indians of Mexico ; Languages ; Names, Geographical"
82451,Description and travel ; Peru ; Antiquities ; Ecuador ; Indians ; Andes ; Mountains ; Mexico ; Indians of South America
83558,"To 1519 ; Indians of Mexico ; Conquest, 1519-1540 ; Mexico ; History"
83665,"Conquest, 1519-1540 ; To 1519 ; History ; Indians of Mexico ; Mexico"
83675,Mexico ; Missions ; Indians of Mexico ; Jesuits ; Early works to 1800 ; Baja California (Mexico : Peninsula) ; Description and travel
83716,Natural history ; Panama ; Description and travel ; Indians of Central America
83717,"Cuna language ; Early works to 1800 ; Glossaries, vocabularies, etc ; Description and travel ; Natural history ; Panama ; Indians of Central America ; Voyages and travels"
84376,"Stephens, John L., ; Mexico ; Description and travel ; Indians of Central America ; 1805-1852 ; Indians of Mexico ; Travel ; Yucatán (Mexico : State) ; Antiquities ; Central America ; Mayas ; Chiapas (Mexico)"
84377,"Social life and customs ; Early works to 1800 ; Travel ; Withington, Nicholas ; East Indies ; Central America ; Cockburn, John ; Description and travel ; Indians of Central America ; mariner"
84420,"1734-1801 ; English West Indian Expedition, 1795-1796 ; Medicine ; West Indies ; Indians of South America ; Abercromby, Ralph, ; Sir, ; Slavery ; 1768-1835 ; Anglo-French War, 1793-1802 ; Description and travel ; Barbados ; Pinckard, George, ; Guyana ; Ye"
84447,Natural history ; Missions ; Indians of South America ; America ; Early accounts to 1600 ; Latin America ; Jesuits
84570,Brazil ; Natural history ; Amazon River Valley ; Indians of South America
84598,Natural history ; Description and travel ; Paraguay ; Indians of South America ; Birds
84933,Fuegians ; Beagle Expedition ; Patagonians ; Patagonia (Argentina and Chile) ; Indians of South America ; (1826-1830) ; (1831-1836) ; Natural history ; Adventure and Beagle Expedition ; South America ; Description and travel
84989,Indians of South America ; Peru ; Costume ; Description and travel
85155,Paraguay ; Indians of South America ; Natural history ; Description and travel
85332,"1781-1826 ; Description and travel ; Social conditions ; Spix, Johann Baptist von, ; Mines and mineral resources ; Ethnic relations ; Travel ; 1794-1868 ; 19th century ; Brazil ; Indians of South America ; Martius, Karl Friedrich Philipp von,"
85334,Chile ; Description and travel ; Mapuche Indians ; Arauco (Chile : Province) ; Shipwrecks ; Challenger (Ship : 1826-1835) ; Indians of South America
85522,Natural history ; Languages ; Brazil ; Indians of South America ; Amazon River Valley ; Amazon Valley ; Description and travel
85963,Indians of South America ; Jesuits ; Orinoco River (Venezuela and Colombia) ; Orinoco Valley ; Ethnology ; Venezuela
85964,Brazil ; Description and travel ; Indians of South America
85967,Brazil ; Indians of South America ; Description and travel
86246,Indians of South America ; Colombia ; Description and travel ; Magdalena (Colombia : Dept.)
86279,Early works to 1800 ; History ; Orinoco River (Venezuela and Colombia) ; Indians of South America ; Jesuits ; 1556-1810 ; Venezuela ; Natural history ; Description and travel
86280,Indians of South America ; Description and travel ; Economic conditions ; French Guiana ; Guiana
86283,Description and travel ; Indians of South America ; Brazil
87039,Guiana ; Indians of South America ; Description and travel ; Guyana ; Slavery
87787,"1682-1773 ; Jesuits ; Travel ; South America ; Indians of South America ; Frézier, Amédée François, ; Description and travel ; Voyages and travels ; Early works to 1800 ; Peru"
94522,Description and travel ; Indians of South America ; Bakairi language ; Ge? languages ; Xingu River ; Brazil ; Scientific Expeditions ; Xingu River (Brazil)
95441,Description and travel ; Brazil ; Indians of South America
96076,South America ; Colonies ; Incas ; Spain ; 18th century ; Colombia ; Scientific Expeditions ; Chile ; Discovery and exploration ; Early works to 1800 ; Indians of South America ; Andes Region ; Description and travel ; Peru ; History ; Arc measures ; Sour
99321,Natural history ; Panama ; Indians of Central America ; Pre-Linnean works ; Early works to 1800 ; 18th century ; Engravings ; Description and travel ; England
100099,Indians of South America ; Amazon River Valley ; Natural history ; Brazil ; Description and travel
102103,Imprint 1648 ; Medicine ; Indians of South America ; Natural history ; Pre-Linnean works ; Brazil
102929,"Imprint 1593 ; Tupi language ; 1534-1611 ; Glossaries, vocabularies, etc ; Indian linguistics ; approximately 1525-approximately 1576 ; 1549-1762 ; Brazil ; 1510-1571? ; History ; 1548-1580 ; Indians of South America ; Léry, Jean de, ; Natural history ; D"
103113,"1510-1571? ; 1549-1762 ; Glossaries, vocabularies, etc ; Indian linguistics ; Natural history ; Tupi language ; 1548-1580 ; approximately 1525-approximately 1576 ; History ; Indians of South America ; 1534-1611 ; Description and travel ; Imprint 1630 ; St"
103136,"Indians of Mexico ; Imprint 1602 ; Discovery and exploration ; Peru ; Spanish ; America ; Magellan, Strait of (Chile and Argentina) ; Description and travel ; Latin America ; Maluku (Indonesia) ; Natural history ; Indians of South America ; Weert, Sebald"
103298,Brazil ; Indians of South America ; Amazon River Valley ; Natural history
103717,"Indians of South America ; Natural history ; approximately 1525-approximately 1576 ; Imprint 1592 ; Villegaignon, Nicolas Durand de, ; History ; Tupi language ; Glossaries, vocabularies, etc ; Indian linguistics ; 1549-1762 ; Description and travel ; Stad"
103727,"Le Staden, Hans, ; 1510-1571? ; approximately 1525-approximately 1576 ; Indians of South America ; Tupi language ; 1534-1611 ; Imprint 1606 ; Imprint 1612 ; Léry, Jean de, ; History ; 1548-1580 ; 1549-1762 ; Glossaries, vocabularies, etc ; Description and"
103729,"approximately 1525-approximately 1576 ; Staden, Hans, ; Villegaignon, Nicolas Durand de, ; 1510-1571? ; Natural history ; 1548-1580 ; 1534-1611 ; History ; Imprint 1605 ; Indians of South America ; Tupi language ; Brazil ; Imprint 1597 ; Léry, Jean de, ;"
104517,"Glossaries, vocabularies, etc ; 1548-1580 ; Tupi language ; Imprint 1597 ; Indians of South America ; 1510-1571? ; Léry, Jean de, ; approximately 1525-approximately 1576 ; Brazil ; Natural history ; Description and travel ; Indian linguistics ; 1549-1762"
104745,Early works to 1800 ; Indians of South America ; Missions ; Maps ; Natural history ; South America ; Argentina ; Gran Chaco ; Chaco (Argentina) ; Description and travel ; Chaco
106909,Madeira River (Brazil and Bolivia) ; Description and travel ; Brazil ; Amazon River ; Mojo Indians ; Indians of South America
110540,"Mapuche language ; South America ; Natural history ; Chiquito language ; Guarani language ; Imprint 1847 ; Indians of South America ; Orbigny, Alcide Dessalines d', ; 1802-1857 ; Imprint 1835 ; Moro language (South America) ; Indian linguistics ; Texts ;"
110790,Indians of South America ; Latin America ; Peru ; America ; Natural history ; Discovery and exploration ; Early accounts to 1600 ; Indians of Mexico
112386,"17th century ; History ; Iran ; Indians of South America ; Brazil ; Madagascar ; Foreign relations ; Imprint 1651 ; Portugal ; Natural history ; Dutch Conquest, 1624-1654 ; Description and travel ; Egypt ; Netherlands"
115749,Early accounts to 1600 ; Indians of Mexico ; Indians of South America ; Peru ; Natural history ; Latin America ; Discovery and exploration ; America
115780,Indians of South America ; Discovery and exploration ; Natural history ; America ; Peru ; Latin America ; Early accounts to 1600 ; Indians of Mexico
115886,America ; Early accounts to 1600 ; Indians of Mexico ; Natural history ; Discovery and exploration ; Peru ; Latin America ; Indians of South America
117364,Mato Grosso (State) ; Xingu River (Brazil) ; Brazil ; Scientific Expeditions ; Description and travel ; Indians of South America ; Mato Grosso (Brazil : State)
119039,Natural resources ; Imprint 1608 ; Languages ; Tobacco ; Indians of South America ; Brazil
119250,"Compagnie des Indes occidentales ; West Indies ; Natural history ; Indians of the West Indies ; West Indies, French ; History"
119870,"Agriculture ; Food crops ; Dissertations, Academic ; Agronomy thesis Ph. D ; UF ; Poultry ; Feeding and feeds ; Agronomy ; Ecuador ; Indians of South America"
119908,Aztecs ; Indians of Mexico ; Agriculture
122472,Description and travel ; Brazil ; Natural history ; Amazon Valley ; Amazon River Valley ; Indians of South America ; Languages
125544,Indians of Mexico ; Mexico ; Anthropometry
129230,Natural history ; Indians of South America ; Imprint 1713 ; North America ; South America ; Civilization ; Indians of North America ; History ; Indians of Mexico
130697,Antiquities ; Indians of South America ; Mexico ; Andes ; Indians of Mexico ; Andes Region ; Peru
136051,"Brazil ; Orta, Garcia de, ; Coloquios dos simples e drogas ; Natural history ; Imprint 1658 ; Indians of South America ; India ; 16th cent ; Medicine"
137705,Natural history ; Discovery and exploration ; Indians of South America ; Early accounts to 1600 ; Indians of Mexico ; Peru ; America ; Latin America
137722,Indians of South America ; Discovery and exploration ; America ; Latin America ; Natural history ; Early accounts to 1600 ; Indians of Mexico ; Peru
137733,Discovery and exploration ; Latin America ; America ; Early accounts to 1600 ; Indians of Mexico ; Natural history ; Peru ; Indians of South America
137735,Indians of Mexico ; Discovery and exploration ; To 1600 ; Early works to 1800 ; Peru ; America ; Imprint 1624 ; Natural history ; Latin America ; History ; Indians of South America
137738,Natural history ; Early accounts to 1600 ; Indians of Mexico ; Latin America ; Indians of South America ; Discovery and exploration ; Peru ; America
137744,Peru ; Discovery and exploration ; Natural history ; Early accounts to 1600 ; Indians of Mexico ; Latin America ; Indians of South America ; America
137935,Early accounts to 1600 ; Indians of Mexico ; Natural history ; Peru ; America ; Latin America ; Discovery and exploration ; Indians of South America
137942,Indians of South America ; Latin America ; Early accounts to 1600 ; Indians of Mexico ; Peru ; America ; Natural history ; Discovery and exploration
137953,Indians of South America ; Discovery and exploration ; America ; Latin America ; Early accounts to 1600 ; Indians of Mexico ; Peru ; Natural history
137960,Early accounts to 1600 ; Indians of Mexico ; America ; Indians of South America ; Discovery and exploration ; Peru ; Latin America ; Natural history
138435,"Facsimiles ; Languages ; Manuscripts, Mexican ; Writing ; Indians of Mexico"
139712,North America ; Imprint 1787 ; South America ; Mines and mineral resources ; Natural history ; Indians of South America ; Description and travel
144140,Mexico City (Mexico) ; Franciscans ; Biography ; Church history ; CSAIP ; Mexico ; Imprint 1697 ; History ; Puebla de Zaragoza (Mexico) ; To 1810 ; Imprint 1698 ; Natural history ; Indians of Mexico
144676,Description and travel ; Slavery ; Guiana ; 18th century ; Natural history ; Imprint 1796 ; History ; Suriname ; Indians of South America
146438,"Indians of South America ; History ; Tupi language ; Brazil ; Description and travel ; French colony, 1555-1567"
149775,Indians of South America ; Description and travel ; Natural history ; North America ; Mines and mineral resources ; South America
149872,Indians of South America ; Mines and mineral resources ; Natural history ; North America ; South America ; Description and travel
155584,Mexico ; Museo Nacional de México ; Pictorial works ; Indians of Mexico ; Antiquities
156633,Discovery and exploration ; Latin America ; Natural history ; America ; West Indies ; Indians of the West Indies ; Imprint 1526 ; Indians of Central America
159929,Phylogeny ; Dispersal ; Indians of South America ; Nomenclature (Popular) ; Rain forest animals ; Mammals ; Amazon River Region ; Ethnozoology ; Mayoruna language ; Classification ; Opossums ; Ucayali River Region ; Peru ; Mayoruna Indians ; Animal divers
163437,Ethnozoology ; Exochotrigona ; Goajiro Indians ; Bees ; stingless bees ; La Guajira (Department) ; Colombia ; Indians of South America ; Nests ; Trigonisca mepecheu ; Ethnoentomology ; Insects ; Trigonisca ; Larvae ; Classification ; Anatomy
166216,"1825-1892 ; Bates, Henry Walter, ; Natural history ; Amazon River Valley ; Brazil ; Indians of South America"
166315,Amazon River Valley ; Brazil ; Indians of South America ; Amazon Valley ; Natural history
166316,"Brazil ; Amazon River Valley ; 1825-1892 ; Natural history ; Bates, Henry Walter, ; Indians of South America"
167554,South America ; Indians of South America ; (1826-1830) ; (1831-1836) ; Natural history ; Adventure and Beagle Expedition ; Description and travel ; Beagle Expedition
168733,Indians of South America ; Suriname ; Description and travel ; Natural history
168975,"Brazil ; Indians of South America ; Amazon River Valley ; Natural history ; 1825-1892 ; Bates, Henry Walter,"
169198,Fortaleza River Valley (Peru) ; Archa?ologische Sta?tte ; Indians of South America ; Peru ; Excavations (Archaeology) ; Fortaleza River Valley ; Antiquities
169199,Pativilca River Valley ; Peru <Ost> ; Excavations (Archaeology) ; Indians of South America ; Peru ; Archaeological dating ; Pativilca River Valley (Peru) ; Antiquities ; Radiocarbon dating ; Ausgrabung
169224,Indians of Mexico ; Oaxaca Valley ; Mexico ; Land settlement patterns ; Antiquities
175070,Mexico ; Antiquities ; Oaxaca Valley ; Land settlement patterns ; Indians of Mexico
